[2026-03-26 03:04:05,258][root][INFO] - Epoch:  63 | Loss: 0.0005 | Val - MRR: 0.3974, MR: 3650.43, H@1: 0.342, H@3: 0.429, H@10: 0.491 | Test - MRR: 0.3929 | *
[2026-03-26 03:05:20,805][root][INFO] - Epoch:  64 | Loss: 0.0005 | Val - MRR: 0.4003, MR: 3734.09, H@1: 0.344, H@3: 0.434, H@10: 0.495 | Test - MRR: 0.3990 | *
[2026-03-26 03:06:29,687][root][INFO] - Epoch:  65 | Loss: 0.0005 | Val - MRR: 0.3729, MR: 3715.05, H@1: 0.311, H@3: 0.409, H@10: 0.485 | 
[2026-03-26 03:07:44,961][root][INFO] - Epoch:  66 | Loss: 0.0005 | Val - MRR: 0.4107, MR: 3809.08, H@1: 0.359, H@3: 0.442, H@10: 0.502 | Test - MRR: 0.4054 | *
[2026-03-26 03:08:53,902][root][INFO] - Epoch:  67 | Loss: 0.0005 | Val - MRR: 0.4079, MR: 3453.62, H@1: 0.353, H@3: 0.442, H@10: 0.502 | 
[2026-03-26 03:10:09,333][root][INFO] - Epoch:  68 | Loss: 0.0005 | Val - MRR: 0.4123, MR: 3706.47, H@1: 0.359, H@3: 0.449, H@10: 0.500 | Test - MRR: 0.4077 | *
[2026-03-26 03:11:20,596][root][INFO] - Epoch:  69 | Loss: 0.0005 | Val - MRR: 0.4105, MR: 3723.69, H@1: 0.354, H@3: 0.446, H@10: 0.507 | 
[2026-03-26 03:12:39,851][root][INFO] - Epoch:  70 | Loss: 0.0005 | Val - MRR: 0.4185, MR: 3932.82, H@1: 0.367, H@3: 0.451, H@10: 0.507 | Test - MRR: 0.4133 | *
[2026-03-26 03:13:59,591][root][INFO] - Epoch:  71 | Loss: 0.0005 | Val - MRR: 0.4220, MR: 3856.66, H@1: 0.371, H@3: 0.453, H@10: 0.506 | Test - MRR: 0.4192 | *
[2026-03-26 03:15:09,790][root][INFO] - Epoch:  72 | Loss: 0.0005 | Val - MRR: 0.4090, MR: 3892.49, H@1: 0.353, H@3: 0.442, H@10: 0.504 | 
[2026-03-26 03:16:27,959][root][INFO] - Epoch:  73 | Loss: 0.0005 | Val - MRR: 0.4238, MR: 3837.76, H@1: 0.372, H@3: 0.458, H@10: 0.507 | Test - MRR: 0.4215 | *
[2026-03-26 03:17:45,094][root][INFO] - Epoch:  74 | Loss: 0.0005 | Val - MRR: 0.4229, MR: 3878.71, H@1: 0.371, H@3: 0.456, H@10: 0.508 | Test - MRR: 0.4244 | *
[2026-03-26 03:19:03,677][root][INFO] - Epoch:  75 | Loss: 0.0005 | Val - MRR: 0.4295, MR: 4021.96, H@1: 0.381, H@3: 0.458, H@10: 0.508 | Test - MRR: 0.4245 | *
[2026-03-26 03:20:21,907][root][INFO] - Epoch:  76 | Loss: 0.0005 | Val - MRR: 0.4236, MR: 4042.31, H@1: 0.373, H@3: 0.456, H@10: 0.509 | Test - MRR: 0.4250 | *
[2026-03-26 03:21:41,658][root][INFO] - Epoch:  77 | Loss: 0.0005 | Val - MRR: 0.4296, MR: 3930.67, H@1: 0.381, H@3: 0.459, H@10: 0.511 | Test - MRR: 0.4286 | *
[2026-03-26 03:23:02,039][root][INFO] - Epoch:  78 | Loss: 0.0005 | Val - MRR: 0.4320, MR: 4085.87, H@1: 0.381, H@3: 0.466, H@10: 0.514 | Test - MRR: 0.4302 | *
[2026-03-26 03:24:13,458][root][INFO] - Epoch:  79 | Loss: 0.0005 | Val - MRR: 0.4078, MR: 4154.22, H@1: 0.351, H@3: 0.444, H@10: 0.504 | 
[2026-03-26 03:25:33,137][root][INFO] - Epoch:  80 | Loss: 0.0005 | Val - MRR: 0.4352, MR: 3999.08, H@1: 0.387, H@3: 0.464, H@10: 0.515 | Test - MRR: 0.4325 | *
[2026-03-26 03:26:53,480][root][INFO] - Epoch:  81 | Loss: 0.0005 | Val - MRR: 0.4355, MR: 4042.20, H@1: 0.389, H@3: 0.464, H@10: 0.512 | Test - MRR: 0.4329 | *
[2026-03-26 03:28:13,441][root][INFO] - Epoch:  82 | Loss: 0.0005 | Val - MRR: 0.4378, MR: 4101.60, H@1: 0.392, H@3: 0.466, H@10: 0.515 | Test - MRR: 0.4333 | *
